id,name,paper,authorNumber
lars-heling,Lars Heling,1,1
felix-bensmann,Felix Bensmann,1,2
benjamin-zapilko,Benjamin Zapilko,1,3
maribel-acosta,Maribel Acosta,1,4
york-sure-vetter,York Sure-Vetter,1,5
daniela-oliveira,Daniela Oliveira,2,1
ratnesh-sahay,Ratnesh Sahay,2,2
mathieu-daquin,Mathieu d'Aquin,2,3
thorsten-liebig,Thorsten Liebig,3,1
andreas-maisenbache,Andreas Maisenbache,3,2
michael-opitz,Michael Opitz,3,3
jan-r-seyler,Jan R. Seyler,3,4
gunther-sudra,Gunther Sudra,3,5
jens-wissmann,Jens Wissmann,3,6
elias-karle,Elias Kärle,4,1
umutcan-simsek,Umutcan Şimşek,4,2
dieter-fensel,Dieter Fensel,4,3
ben-de-meester,Ben De Meester,5,1
pieter-heyvaert,Pieter Heyvaert,5,2
ruben-verborgh,Ruben Verborgh,5,3
anastasia-dimou,Anastasia Dimou,5,4
